114.1,سجل   الشكايات   والمحاضر   الخاصة بالعنف ضد الأطفال
114.2,كناش أمر بالإفراج بمحاكم الاستئناف
114.2,سجل حماية الحيازة
114.2,سجل   سحب   جواز   السفر   وإغلاق الحدود
114.2,سجل شكايات المعتقلين
114.2,سجل الانتدابات القضائية الجنائية
,
114.2,سجل   الشكايات   والمحاضر   بمحاكم الاستئناف
114.2,سجل مراقبة قضايا الجنايات
114.2,سجل الاعتقال الاحتياطي
114.2,سجل إحصائي لقضايا المخدرات
114.2,سجل تنفيذ العقوبات البدنية
114.3,سجل الاكراه البدني في الديون العمومية (الغرامات والضرائب الغير المباشرة)
114.3,سجل   الاكراه   البدني   في   الديون الخصوصية
114.3,سجل    محاضر    الزيارات    الدورية للمعتقلين
114.3,سجل طلبات العفو والإفراج المقيد ورد الاعتبار
114.3,سجل المحجوزات بمحاكم الاستئناف
114.3,السجل   العام   لتقييد   ملفات   التنفيذ الزجري
114.3,كناش  خاص  بزيارة  المحامي  بمحاكم الاستئناف
114.3,سجل مراقبة شكايات إهمال الأسرة
114.3,سجل   سحب   شهادة   الكفاءة   لقيادة السيارات
114.3,سجل طلبات تسخير القوة العمومية
115.1,"سجل     قضايا     التحقيق     (محكمة
الاستئناف)"
115.2,"سجل  مراقبة  قضايا  التحقيق  (محكمة
الاستئناف)"
115.3,"سجل قضايا التحقيق للأحداث (محكمة
الاستئناف)"
115.4,سجل  مراقبة  قضايا  التحقيق  للأحداث (محكمة الاستئناف)
115.5,"سجل  قضايا  التحقيق  للرشداء  (غرفة
التحقيق) (محكمة الاستئناف)"
115.6,"سجل  قضايا  التحقيق  للرشداء  (النيابة
العامة) (محكمة الاستئناف)"
116.1,سجل  الواردات  والصادرات  بمحاكم الاستئناف
116.2,سجل إحصاء ومراقبة السجلات بمحاكم الاستئناف
116.3,سجل الاجتماعات بمحاكم الاستئناف
116.4,سجل  الجمعية  العامة  للمحكمة  بمحاكم الاستئناف
116.5,سجل  محاضر  تأدية  اليمين  بمحاكم الاستئناف
116.6,كناش   تداول   الملفات   والوثائق   بين مختلف المصالح بمحاكم الاستئناف
116.7,كناش    العطل    والرخص    بمحاكم الاستئناف
116.8,السجلات المحدثة بمحاكم الاستئناف
121.1,-   ملف    المساعدة    القضائية    بمحاكم الاستئناف
121.2,-   ملف التنفيذ الزجري
122.1,-   ملف قضية مدنية
122.2,-   ملف التحفيظ بمحاكم الاستئناف
122.3,-   ملف الأمر بالأداء بمحاكم الاستئناف
122.4,-   ملف النيابة القانونية بمحاكم الاستئناف
122.5,"-   ملف  الأمر  بتحديد  الواجبات  المترتبة
عن الطلاق"
122.6,-   ملف (إعذار – إنذار – معاينة ...)
122.7,-   ملف حجز لدى الغير بمحاكم الاستئناف
122.8,-   ملف حجز عقاري بمحاكم الاستئناف
122.9,-   ملف الإفلاسات والتصفيات والتسييرات القضائية
122.1,-   ملف الأحوال الشخصية
122.1,-   ملف النفقة
122.1,-   ملف كفالة طفل مهمل
122.1,-   ملف كفالة طفل غير مهمل
122.1,-   ملف النيابة الشرعية بمحاكم الاستئناف
123.1,-   ملف الأحداث
123.2,-   ملف الجنح
123.3,-   ملف التلبس
123.4,-   ملف استئناف جنحي
123.5,-   ملف الجنايات
123.6,-   نظير   ملف   النيابة   العامة   بمحاكم الاستئناف
123.7,-   ملف ملتمس بالعفو
123.8,"-   ملف    جنائي    (قضاء    الجماعات
والمقاطعات)"
123.9,-   الشكايات    والمحاضر    في    المجال الجنائي
124.1,-   ملف التحقيق بمحاكم الاستئناف
130.1,-   أصول الأحكام بمحاكم الاستئناف
211.1,-   سجل الجلسات بالمحاكم الابتدائية
211.2,-   سجل  مراقبة  توجيه  القضايا  المطلوب فيها الاستئناف
211.3,-   سجل الأحكام المطلوب فيها الاستئناف
211.4,-   سجل  طلبات  نسخ  الأحكام  والقرارات بالمحاكم الابتدائية
212.1,-   كناش حسابات مواد بالمحاكم الابتدائية
212.2,-   سجل الائتمانات بالمحاكم الابتدائية
212.3,-   سجل المختلفة بالمحاكم الابتدائية
212.4,"-   كناش   الاستخلاصات   المنجزة   من طرف  أعوان  التنفيذ  خارج  المحكمة
بالمحاكم الابتدائية"
212.5,-   سجل  الحسابات  الخصوصية  بالمحاكم الابتدائية
212.6,-   السجل    اليومي    الجامع    للمداخيل بالمحاكم الابتدائية
212.7,-   السجل   اليومي   الجامع   للمصاريف بالمحاكم الابتدائية
212.8,-   دفتر وضعية الصندوق اليومية بالمحاكم الابتدائية
212.9,"-   دفتر   تسجيل   العمليات   اليومية   في
الحساب   الجاري   البريدي   بالمحاكم الابتدائية"
212.1,-   دفتر بيانات دفع الرسوم القضائية إلى مصلحة التسجيل بالمحاكم الابتدائية
212.1,-   دفتر   بيانات   دفع   حقوق   المرافعة بالمحاكم الابتدائية
212.1,-   دفتر   أوراق   المصاريف   بالمحاكم الابتدائية
212.1,بيان  شخصي  لتصفية  صوائر  التنقل بالمحاكم الابتدائية
212.1,سجل   استخلاص   مصاريف   التنقل بالمحاكم الابتدائية
212.2,مقتطع   الغرامات   والعقوبات   المالية بالمحاكم الابتدائية
212.2,سجل    لتحصيل    الرسوم    القضائية بالمحاكم الابتدائية
212.2,سجل تصفية صوائر المساعدة القضائية بالمحاكم الابتدائية
212.2,دفتر  تسجيل  وإرسال  الأوامر  التنفيذية بالمحاكم الابتدائية
212.2,سجل  المختصرات  بالمحاكم  الابتدائية (الغرامات والعقوبات المالية)
212.2,سجل الأوامر بالدفع بالمحاكم الابتدائية
212.2,سجل    بيانات    التحملات    بالمحاكم الابتدائية
,
212.2,الغرامات   والعقوبات   المالية   سجل الإلغاء بالمحاكم الابتدائية
212.2,سجل  طلبات  الإكراه  البدني  بالمحاكم الابتدائية (التنفيذ الزجري)
212.2,سجل   الانابات   بالمحاكم   الابتدائية (التنفيذ الزجري)
212.3,سجل  بيانات  التصفية  خاص  بالرسوم القضائية التكميلية بالمحاكم الابتدائية
212.3,سجل الكفالات المالية بالمحاكم الابتدائية
212.3,سجل    طلبات    المساعدة    القضائية بالمحاكم الابتدائية
212.3,سجل   قرارات   المساعدة   القضائية المستأنفة بالمحاكم الابتدائية
